[Mon Apr  6 16:44:26 2026] Initilize: 1. Conv2d & Linear with kaiming_normal_ 2. BatchNorm2d with constant
[Mon Apr  6 19:16:46 2026] [Test] epo:37/50, batch_idx_tr:293/293, WAR_te:55.41%, UAR_te:46.75%
[Mon Apr  6 19:20:33 2026] [Train] epo:38/50, batch_idx_tr:293/293, running_loss_tr:0.07, train acc:97.48%
[Mon Apr  6 19:20:51 2026] [Test] epo:38/50, batch_idx_tr:293/293, WAR_te:51.77%, UAR_te:44.34%
[Mon Apr  6 19:24:38 2026] [Train] epo:39/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.65%
[Mon Apr  6 19:24:56 2026] [Test] epo:39/50, batch_idx_tr:293/293, WAR_te:54.38%, UAR_te:46.41%
[Mon Apr  6 19:28:44 2026] [Train] epo:40/50, batch_idx_tr:293/293, running_loss_tr:0.06, train acc:97.91%
[Mon Apr  6 19:29:01 2026] [Test] epo:40/50, batch_idx_tr:293/293, WAR_te:52.24%, UAR_te:44.55%
[Mon Apr  6 19:32:49 2026] [Train] epo:41/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.09%
[Mon Apr  6 19:33:07 2026] [Test] epo:41/50, batch_idx_tr:293/293, WAR_te:53.44%, UAR_te:46.45%
[Mon Apr  6 19:36:55 2026] [Train] epo:42/50, batch_idx_tr:293/293, running_loss_tr:0.08, train acc:97.31%
[Mon Apr  6 19:37:13 2026] [Test] epo:42/50, batch_idx_tr:293/293, WAR_te:53.01%, UAR_te:42.65%
[Mon Apr  6 19:41:00 2026] [Train] epo:43/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.22%
[Mon Apr  6 19:41:18 2026] [Test] epo:43/50, batch_idx_tr:293/293, WAR_te:54.42%, UAR_te:44.59%
[Mon Apr  6 19:45:06 2026] [Train] epo:44/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.25%
[Mon Apr  6 19:45:24 2026] [Test] epo:44/50, batch_idx_tr:293/293, WAR_te:53.83%, UAR_te:44.21%
[Mon Apr  6 19:49:12 2026] [Train] epo:45/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:97.97%
[Mon Apr  6 19:49:30 2026] [Test] epo:45/50, batch_idx_tr:293/293, WAR_te:52.93%, UAR_te:45.72%
[Mon Apr  6 19:53:18 2026] [Train] epo:46/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.34%
[Mon Apr  6 19:53:36 2026] [Test] epo:46/50, batch_idx_tr:293/293, WAR_te:55.24%, UAR_te:45.68%
[Mon Apr  6 19:57:23 2026] [Train] epo:47/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.61%
[Mon Apr  6 19:57:41 2026] [Test] epo:47/50, batch_idx_tr:293/293, WAR_te:49.94%, UAR_te:44.98%
[Mon Apr  6 20:01:29 2026] [Train] epo:48/50, batch_idx_tr:293/293, running_loss_tr:0.04, train acc:98.55%
[Mon Apr  6 20:01:47 2026] [Test] epo:48/50, batch_idx_tr:293/293, WAR_te:53.14%, UAR_te:45.77%
[Mon Apr  6 20:05:34 2026] [Train] epo:49/50, batch_idx_tr:293/293, running_loss_tr:0.05, train acc:98.28%
[Mon Apr  6 20:05:52 2026] [Test] epo:49/50, batch_idx_tr:293/293, WAR_te:54.90%, UAR_te:44.54%
[Mon Apr  6 20:09:40 2026] [Train] epo:50/50, batch_idx_tr:293/293, running_loss_tr:0.07, train acc:97.58%
[Mon Apr  6 20:09:58 2026] [Test] epo:50/50, batch_idx_tr:293/293, WAR_te:53.87%, UAR_te:44.49%
